pmcid,pmid,saved_path,source,format,status,notes
PMC6337702,30239726.0,downloaded_papers/PMC6337702.xml,PMC,xml,ok,
PMC6195505,30341336.0,downloaded_papers/PMC6195505.xml,PMC,xml,ok,
PMC6745498,31424120.0,downloaded_papers/PMC6745498.xml,PMC,xml,ok,
,30791861.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
PMC6317432,30202865.0,downloaded_papers/PMC6317432.xml,PMC,xml,ok,
PMC6134011,30206204.0,downloaded_papers/PMC6134011.xml,PMC,xml,ok,
PMC6170800,30306765.0,downloaded_papers/PMC6170800.xml,PMC,xml,ok,
PMC6599230,31253109.0,downloaded_papers/PMC6599230.xml,PMC,xml,ok,
PMC6166974,30231016.0,downloaded_papers/PMC6166974.xml,PMC,xml,ok,
PMC6166974,30231016.0,downloaded_papers/PMC6166974.xml,PMC,xml,ok,
PMC6166974,30231016.0,downloaded_papers/PMC6166974.xml,PMC,xml,ok,
PMC6092984,30078556.0,downloaded_papers/PMC6092984.xml,PMC,xml,ok,
,30323188.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
PMC6182654,30091044.0,downloaded_papers/PMC6182654.xml,PMC,xml,ok,
PMC6191930,29791872.0,downloaded_papers/PMC6191930.xml,PMC,xml,ok,
PMC5922286,29515027.0,downloaded_papers/PMC5922286.xml,PMC,xml,ok,
PMC8189436,33957081.0,downloaded_papers/PMC8189436.xml,PMC,xml,ok,
PMC5899959,29272857.0,downloaded_papers/PMC5899959.xml,PMC,xml,ok,
PMC5899959,29272857.0,downloaded_papers/PMC5899959.xml,PMC,xml,ok,
PMC6109360,30143027.0,downloaded_papers/PMC6109360.xml,PMC,xml,ok,
PMC5998911,29576538.0,downloaded_papers/PMC5998911.xml,PMC,xml,ok,
,29720634.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
PMC10575574,37842081.0,downloaded_papers/PMC10575574.xml,PMC,xml,ok,
,30840884.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
PMC10489955,37682722.0,downloaded_papers/PMC10489955.xml,PMC,xml,ok,
PMC10453333,37626882.0,downloaded_papers/PMC10453333.xml,PMC,xml,ok,
,37699390.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
PMC10724456,37694817.0,downloaded_papers/PMC10724456.xml,PMC,xml,ok,
PMC10666664,37612507.0,downloaded_papers/PMC10666664.xml,PMC,xml,ok,
,37748369.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
,37699390.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
,37699390.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
PMC11551428,39475633.0,downloaded_papers/PMC11551428.xml,PMC,xml,ok,
PMC10682975,37695302.0,downloaded_papers/PMC10682975.xml,PMC,xml,ok,
PMC11290322,38917790.0,downloaded_papers/PMC11290322.xml,PMC,xml,ok,
PMC11290322,38917790.0,downloaded_papers/PMC11290322.xml,PMC,xml,ok,
PMC11212735,38941464.0,downloaded_papers/PMC11212735.xml,PMC,xml,ok,
PMC11212735,38941464.0,downloaded_papers/PMC11212735.xml,PMC,xml,ok,
PMC10864176,38267607.0,downloaded_papers/PMC10864176.xml,PMC,xml,ok,
PMC10849971,38092041.0,downloaded_papers/PMC10849971.xml,PMC,xml,ok,
PMC10864176,38267607.0,downloaded_papers/PMC10864176.xml,PMC,xml,ok,
PMC10742386,38085778.0,downloaded_papers/PMC10742386.xml,PMC,xml,ok,
PMC10333575,37440923.0,downloaded_papers/PMC10333575.xml,PMC,xml,ok,
PMC10267411,37325564.0,downloaded_papers/PMC10267411.xml,PMC,xml,ok,
PMC10333575,37440923.0,downloaded_papers/PMC10333575.xml,PMC,xml,ok,
PMC10333575,37440923.0,downloaded_papers/PMC10333575.xml,PMC,xml,ok,
PMC9934066,36626551.0,downloaded_papers/PMC9934066.xml,PMC,xml,ok,
PMC6082907,30042384.0,downloaded_papers/PMC6082907.xml,PMC,xml,ok,
PMC10267411,37325564.0,downloaded_papers/PMC10267411.xml,PMC,xml,ok,
PMC10267411,37325564.0,downloaded_papers/PMC10267411.xml,PMC,xml,ok,
PMC10157472,37152295.0,downloaded_papers/PMC10157472.xml,PMC,xml,ok,
PMC10330249,37195197.0,downloaded_papers/PMC10330249.xml,PMC,xml,ok,
PMC10916932,38052213.0,downloaded_papers/PMC10916932.xml,PMC,xml,ok,
PMC10026949,35776660.0,downloaded_papers/PMC10026949.xml,PMC,xml,ok,
PMC10179098,37175790.0,downloaded_papers/PMC10179098.xml,PMC,xml,ok,
PMC10026949,35776660.0,downloaded_papers/PMC10026949.xml,PMC,xml,ok,
,35020896.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
PMC8724430,34992598.0,downloaded_papers/PMC8724430.xml,PMC,xml,ok,
PMC10152924,37019170.0,downloaded_papers/PMC10152924.xml,PMC,xml,ok,
PMC8904600,35260583.0,downloaded_papers/PMC8904600.xml,PMC,xml,ok,
PMC9106330,35486098.0,downloaded_papers/PMC9106330.xml,PMC,xml,ok,
PMC9462488,35993366.0,downloaded_papers/PMC9462488.xml,PMC,xml,ok,
PMC8632620,34867824.0,downloaded_papers/PMC8632620.xml,PMC,xml,ok,
PMC8632620,34867824.0,downloaded_papers/PMC8632620.xml,PMC,xml,ok,
PMC8488167,34616727.0,downloaded_papers/PMC8488167.xml,PMC,xml,ok,
,34741805.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
PMC8488167,34616727.0,downloaded_papers/PMC8488167.xml,PMC,xml,ok,
PMC8817049,35121757.0,downloaded_papers/PMC8817049.xml,PMC,xml,ok,
PMC8460760,34567059.0,downloaded_papers/PMC8460760.xml,PMC,xml,ok,
PMC8468108,34575858.0,downloaded_papers/PMC8468108.xml,PMC,xml,ok,
PMC8460760,34567059.0,downloaded_papers/PMC8460760.xml,PMC,xml,ok,
PMC8451157,34538263.0,downloaded_papers/PMC8451157.xml,PMC,xml,ok,
PMC8857816,35180876.0,downloaded_papers/PMC8857816.xml,PMC,xml,ok,
PMC8857816,35180876.0,downloaded_papers/PMC8857816.xml,PMC,xml,ok,
PMC8589964,34773076.0,downloaded_papers/PMC8589964.xml,PMC,xml,ok,
PMC8791832,34856602.0,downloaded_papers/PMC8791832.xml,PMC,xml,ok,
